Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,69.139999,70.650002,68.360001,68.379997,67.007141,28890800
2018-10-12,70.449997,71.230003,68.410004,69.839996,68.437836,29024200
2018-10-15,70.129997,70.639999,69.180000,69.209999,67.820480,17661300
2018-10-16,69.889999,70.040001,69.169998,69.709999,68.310440,15453500
2018-10-17,69.349998,70.790001,69.029999,69.839996,68.437836,16774200
2018-10-18,69.540001,70.389999,68.410004,68.620003,67.242332,18168500
2018-10-19,68.540001,69.599998,68.160004,68.860001,67.477509,16721900
2018-10-22,68.889999,69.209999,66.570000,66.589996,65.253082,17890900
2018-10-23,64.150002,66.080002,63.180000,65.730003,64.410362,32809200
2018-10-24,65.410004,65.410004,63.590000,63.799999,62.519100,23420600
2018-10-25,64.769997,65.510002,64.330002,64.970001,63.665611,19510300
2018-10-26,64.169998,64.739998,63.180000,64.209999,62.920868,24066300
2018-10-29,65.059998,65.620003,63.680000,64.349998,63.058056,20036800
2018-10-30,64.599998,65.190002,63.810001,64.529999,63.234444,19951900
2018-10-31,65.010002,66.209999,64.839996,65.459999,64.145767,20450300
2018-11-01,66.089996,66.440002,65.199997,65.830002,64.508347,17744100
2018-11-02,66.070000,66.919998,65.580002,65.919998,65.041138,21214800
2018-11-05,66.300003,67.470001,66.260002,67.300003,66.402756,14823900
2018-11-06,67.309998,67.309998,66.169998,66.680000,65.791008,17049600
2018-11-07,67.290001,68.309998,66.699997,68.260002,67.349953,15529300
2018-11-08,67.940002,69.000000,66.849998,67.779999,66.876343,18908100
2018-11-09,67.199997,67.489998,65.180000,65.760002,64.883286,27125800
2018-11-12,65.559998,65.980003,64.070000,64.209999,63.353943,16424200
2018-11-13,64.379997,65.440002,64.320000,64.779999,63.916344,14121300
2018-11-14,65.389999,65.790001,62.840000,63.500000,62.653408,19754600
2018-11-15,62.970001,64.720001,62.340000,64.599998,63.738743,19202300
2018-11-16,64.489998,64.970001,64.019997,64.949997,64.084076,15995200
2018-11-19,65.080002,65.540001,64.199997,64.620003,63.758480,12227400
2018-11-20,63.820000,64.010002,62.150002,62.529999,61.696342,21024000
2018-11-21,62.759998,63.830002,62.669998,62.869999,62.031811,12380200
2018-11-23,62.330002,62.439999,61.720001,61.750000,60.926739,7316500
2018-11-26,62.669998,63.919998,62.500000,63.730000,62.880344,19065100
2018-11-27,63.349998,63.840000,62.750000,63.459999,62.613941,12867900
2018-11-28,63.639999,65.650002,62.910000,65.580002,64.705681,17719000
2018-11-29,65.089996,65.559998,64.660004,64.900002,64.034752,12914200
2018-11-30,64.370003,65.000000,64.110001,64.790001,63.926216,14207800
2018-12-03,66.040001,66.459999,64.809998,65.160004,64.291283,14255500
2018-12-04,64.580002,64.639999,61.119999,62.259998,61.429939,27104500
2018-12-06,59.360001,60.090000,58.360001,60.060001,59.259274,37802600
2018-12-07,59.720001,60.720001,58.139999,58.349998,57.572071,24282100
2018-12-10,57.950001,58.310001,55.830002,57.070000,56.309135,30695800
2018-12-11,58.169998,58.330002,55.900002,56.220001,55.470470,23712500
2018-12-12,57.130001,57.150002,55.849998,55.980000,55.233665,24941600
2018-12-13,56.380001,56.439999,55.410000,55.770000,55.026466,27670700
2018-12-14,54.730000,56.360001,54.630001,55.020000,54.286469,22839300
2018-12-17,54.849998,55.930000,53.919998,54.250000,53.526733,26212500
2018-12-18,54.720001,55.669998,53.549999,53.930000,53.210999,27302000
2018-12-19,53.900002,55.400002,52.180000,52.820000,52.115795,31483100
2018-12-20,52.209999,53.250000,51.720001,52.270000,51.573128,39800000
2018-12-21,51.900002,52.560001,49.880001,50.240002,49.570194,52323000
2018-12-24,49.400002,50.250000,48.480000,49.259998,48.603256,21970800
2018-12-26,49.650002,51.450001,48.419998,51.439999,50.754192,32005600
2018-12-27,50.619999,51.770000,49.700001,51.770000,51.079796,28573400
2018-12-28,51.930000,52.549999,51.570000,51.830002,51.138996,23176900
2018-12-31,51.980000,52.669998,51.389999,52.060001,51.365932,19317500
2019-01-02,50.680000,53.740002,50.669998,53.529999,52.816330,21646300
2019-01-03,53.410000,53.619999,52.220001,52.560001,51.859264,21178600
2019-01-04,54.009998,55.380001,53.660000,55.130001,54.395000,24205100
2019-01-07,55.330002,56.209999,54.799999,55.610001,54.868603,20634100
2019-01-08,56.029999,56.189999,54.759998,55.459999,54.720600,18840100
